Name,Date,Title,Price,Condition,Link
janzxz,5 days ago,"13 Inch MacBook Air Rose Gold (Retina, 2019)",S$900,Like new,https://carousell.sg/p/13-inch-macbook-air-rose-gold-retina-2019-1264060597/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=220
victoriacomputer,5 days ago,MacBook Pro,S$150,Lightly used,https://carousell.sg/p/macbook-pro-1263576697/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=221
mike0910,5 days ago,MacBook Pro 13inch,S$499,Lightly used,https://carousell.sg/p/macbook-pro-13inch-1261904030/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=223
ecent18,5 days ago,MacBook Air 13 inch M1 chip,S$800,Like new,https://carousell.sg/p/macbook-air-13-inch-m1-chip-1267007114/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=224
shoppingqueeen,5 days ago,MacBook Pro 13inch 2017 128GB Dark Grey,S$550,Lightly used,https://carousell.sg/p/macbook-pro-13inch-2017-128gb-dark-grey-1261899239/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=225
blue_shirt,5 days ago,MacBook Pro 13inch,S$800,Lightly used,https://carousell.sg/p/macbook-pro-13inch-1261362090/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=226
jackietan77,5 days ago,MacBook Pro 15-4 Inch 2016,S$740,Well used,https://carousell.sg/p/macbook-pro-15-4-inch-2016-1256056827/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=227
h.infocom,2 days ago,"Macbook air 2017, core i5, 1.8 GHz processor,8GB ram, Intel HD graphics 6000,128 GB Mac Intosh Flash storage, 13.3"" monitor",S$399,Like new,https://carousell.sg/p/macbook-air-2017-core-i5-1-8-ghz-processor-8gb-ram-intel-hd-graphics-6000-128-gb-mac-intosh-flash-storage-13-3-monitor-1267468925/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=228
techmartsg,2 days ago,"MacBook Pro (13-inch, 2017, Four Thunderbolt 3 ports) Intel Core i5 | 16GB | 500GB SSD | MacOS Ventura",S$590,Heavily used,https://carousell.sg/p/macbook-pro-13-inch-2017-four-thunderbolt-3-ports-intel-core-i5-16gb-500gb-ssd-macos-ventura-1267464166/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=229
apple.to.you,2 days ago,M1 MacBook Pro 8/256,"S$1,200",Like new,https://carousell.sg/p/m1-macbook-pro-8-256-1267447445/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=230
shopcraves,5 days ago,"Macbook Pro 16 Inch, 512GB SSD 16GB RAM, Silver, 10/10,",S$999,Like new,https://carousell.sg/p/macbook-pro-16-inch-512gb-ssd-16gb-ram-silver-10-10-1261239091/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=231
hansler_97,5 days ago,Apple MacBook Pro M2 Pro 2023,"S$2,650",Like new,https://carousell.sg/p/apple-macbook-pro-m2-pro-2023-1263024847/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=232
tomatoiii,5 days ago,MacBook Pro 13inch,S$600,Lightly used,https://carousell.sg/p/macbook-pro-13inch-1263246803/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=233
bunnie.xx,5 days ago,New Macbook Air 2020,S$899,Like new,https://carousell.sg/p/new-macbook-air-2020-1264254359/?t-id=nFOSAbEtHg_1701013882919&t-referrer_browse_type=search_results&t-referrer_filter_price_min=100&t-referrer_page_type=search&t-referrer_request_id=-aG15nCRLwg1C-0p&t-referrer_search_query=macbook&t-referrer_sort_by=popular&t-tap_index=234
